station;termin;nat_abbr;dv1towz0;fk1towz0;fu3towz0;fu3towz1;gre000z0;sre000z0;ta1tows0;tdetows0;uretows0
392;20230101230000;UEB;138;1.1;3.2;9.0;4;0;11.0;2.5;55.7
392;20230101231000;UEB;141;1.0;3.2;8.3;4;0;10.9;2.6;56.3
392;20230101232000;UEB;127;1.0;2.9;9.0;4;0;10.6;3.1;59.6
392;20230101233000;UEB;104;1.1;4.0;5.8;4;0;10.7;3.0;59.1
392;20230101234000;UEB;305;1.0;1.4;10.1;4;0;10.7;3.0;58.8
392;20230101235000;UEB;264;1.9;6.5;13.7;4;0;10.5;3.1;60.2
392;20230102000000;UEB;258;2.5;9.0;14.4;4;0;10.6;2.9;58.8
392;20230102001000;UEB;249;2.9;10.1;18.7;4;0;10.7;2.6;57.3
392;20230102002000;UEB;241;3.7;13.0;18.0;4;0;10.7;2.5;56.9
392;20230102003000;UEB;242;4.7;16.6;22.7;4;0;10.7;2.4;56.5
392;20230102004000;UEB;244;6.0;21.6;29.5;4;0;10.8;2.2;55.4
392;20230102005000;UEB;241;6.4;23.0;28.8;4;0;11.0;2.0;53.6
392;20230102010000;UEB;236;6.1;22.0;28.1;4;0;11.1;1.9;53.0
392;20230102011000;UEB;235;6.4;22.7;26.3;4;0;11.1;1.8;52.6
392;20230102012000;UEB;234;6.7;24.1;27.4;4;0;11.3;1.5;50.9
392;20230102013000;UEB;235;7.2;25.9;31.3;4;0;11.5;1.3;49.3
392;20230102014000;UEB;233;7.7;27.7;31.3;4;0;11.6;1.1;48.5
392;20230102015000;UEB;232;8.7;31.3;36.4;4;0;11.6;1.0;48.1
392;20230102020000;UEB;232;8.5;30.6;37.4;4;0;11.0;1.6;52.4
392;20230102021000;UEB;242;9.9;35.6;40.7;4;0;10.5;1.7;54.5
392;20230102022000;UEB;244;10.4;37.4;41.8;4;0;10.7;1.2;51.7
392;20230102023000;UEB;241;10.7;38.2;42.1;3;0;11.6;0.4;46.1
392;20230102024000;UEB;234;9.7;34.9;41.0;3;0;11.8;0.5;45.9
392;20230102025000;UEB;236;9.5;33.8;38.9;3;0;11.8;0.2;44.8
392;20230102030000;UEB;239;10.1;36.0;45.0;4;0;11.3;0.4;47.0
392;20230102031000;UEB;238;10.4;37.4;43.9;4;0;11.7;0.0;44.5
392;20230102032000;UEB;237;8.7;31.3;37.8;4;0;11.3;0.6;47.8
392;20230102033000;UEB;234;8.6;31.0;33.1;3;0;11.0;1.1;50.4
392;20230102034000;UEB;234;8.4;30.2;33.8;3;0;11.7;0.4;45.6
392;20230102035000;UEB;237;8.5;30.6;33.1;4;0;11.6;0.2;45.5
392;20230102040000;UEB;237;8.8;31.7;36.4;4;0;11.6;0.1;45.2
392;20230102041000;UEB;234;8.3;29.9;35.3;4;0;11.6;-0.2;44.0
392;20230102042000;UEB;237;8.9;31.7;36.7;4;0;11.3;-0.1;45.3
392;20230102043000;UEB;234;8.5;30.2;35.3;4;0;11.5;-0.1;44.7
392;20230102044000;UEB;235;8.3;29.9;36.7;4;0;11.7;-0.1;44.2
392;20230102045000;UEB;236;8.2;29.5;35.3;4;0;11.3;0.0;45.7
392;20230102050000;UEB;237;8.2;29.5;33.5;4;0;11.6;0.0;44.6
392;20230102051000;UEB;233;7.7;27.4;33.1;4;0;11.9;-0.2;43.2
392;20230102052000;UEB;234;7.6;27.4;32.4;3;0;11.8;-0.2;43.4
392;20230102053000;UEB;240;9.2;33.1;39.2;4;0;11.5;-0.5;43.3
392;20230102054000;UEB;239;9.8;35.3;39.2;4;0;10.5;0.2;48.7
392;20230102055000;UEB;236;8.2;29.5;35.6;4;0;11.7;-0.5;42.7
392;20230102060000;UEB;237;8.5;30.2;35.3;4;0;11.4;-0.5;43.7
392;20230102061000;UEB;236;8.6;31.0;36.0;4;0;11.6;-0.6;42.8
392;20230102062000;UEB;233;8.2;29.5;33.5;3;0;11.7;-0.5;42.7
392;20230102063000;UEB;236;8.9;32.0;40.3;4;0;11.6;-0.6;42.9
392;20230102064000;UEB;240;9.1;32.8;40.3;4;0;11.7;-0.7;42.3
392;20230102065000;UEB;238;9.8;35.3;42.8;4;0;11.1;-0.6;44.4
392;20230102070000;UEB;237;10.7;38.5;43.6;4;0;11.4;-0.9;42.6
392;20230102071000;UEB;240;11.2;40.3;43.9;14;0;11.3;-1.2;41.7
392;20230102072000;UEB;236;9.9;35.6;42.5;18;0;11.4;-1.1;41.8
392;20230102073000;UEB;239;9.2;33.1;38.9;24;5;11.6;-1.3;40.8
392;20230102074000;UEB;237;9.5;34.2;42.1;45;10;10.3;-0.1;48.5
392;20230102075000;UEB;227;8.5;30.6;32.4;45;7;11.8;-1.2;40.4
392;20230102080000;UEB;230;8.9;32.0;35.3;36;0;11.5;-0.9;42.1
392;20230102081000;UEB;235;9.5;33.8;40.0;40;0;11.8;-1.4;39.8
392;20230102082000;UEB;235;9.8;35.3;37.4;46;0;11.1;-0.9;43.3
392;20230102083000;UEB;236;10.2;36.7;41.8;60;0;11.9;-1.6;39.1
392;20230102084000;UEB;238;11.3;40.7;46.4;76;0;11.2;-0.9;42.9
392;20230102085000;UEB;239;11.3;40.7;47.5;81;0;10.7;-0.7;45.2
392;20230102090000;UEB;237;10.6;38.2;44.3;92;0;10.7;-0.7;45.2
392;20230102091000;UEB;240;11.1;40.0;48.2;96;0;10.3;-0.7;46.2
392;20230102092000;UEB;241;10.9;39.2;46.1;95;0;10.2;-1.0;45.6
392;20230102093000;UEB;240;10.3;37.1;41.8;110;0;9.9;-0.6;47.9
392;20230102094000;UEB;238;10.3;37.1;40.7;134;0;9.6;-0.5;49.4
392;20230102095000;UEB;238;11.2;40.3;44.6;195;0;10.2;-1.0;45.5
392;20230102100000;UEB;240;10.8;38.5;43.9;199;0;10.4;-1.2;44.4
392;20230102101000;UEB;244;9.9;35.6;43.9;212;0;9.4;-0.2;51.2
392;20230102102000;UEB;247;11.2;40.3;48.2;241;0;9.8;-0.7;48.0
392;20230102103000;UEB;250;11.8;42.1;48.2;174;0;9.8;-1.2;46.3
392;20230102104000;UEB;253;12.6;45.4;50.0;137;0;10.1;-1.0;46.1
392;20230102105000;UEB;254;13.0;46.8;51.5;133;0;10.1;-1.4;44.6
392;20230102110000;UEB;256;14.1;50.8;56.2;181;0;10.1;-1.1;45.6
392;20230102111000;UEB;257;13.9;50.0;57.6;144;0;10.0;-1.0;46.2
392;20230102112000;UEB;254;13.6;49.0;55.4;148;0;9.8;-0.8;47.5
392;20230102113000;UEB;253;13.4;48.2;57.2;159;0;9.8;-0.7;47.9
392;20230102114000;UEB;251;13.5;48.6;55.4;156;0;10.1;-1.0;46.0
392;20230102115000;UEB;250;14.3;51.5;59.8;139;0;10.7;-1.3;43.2
392;20230102120000;UEB;247;14.6;52.6;65.5;139;1;10.4;-0.4;47.1
392;20230102121000;UEB;246;14.0;50.4;62.3;170;5;10.2;-0.2;48.3
392;20230102122000;UEB;244;13.5;48.6;55.1;229;8;10.2;-0.1;48.7
392;20230102123000;UEB;243;12.9;46.1;56.2;362;10;10.1;-0.1;48.9
392;20230102124000;UEB;239;11.6;41.8;51.1;351;10;10.1;-0.1;49.1
392;20230102125000;UEB;236;10.9;39.2;51.1;160;5;10.0;0.2;50.6
392;20230102130000;UEB;233;10.1;36.4;48.6;217;9;9.9;0.3;51.2
392;20230102131000;UEB;230;9.9;35.6;48.6;151;5;10.2;0.4;50.7
392;20230102132000;UEB;231;11.7;41.8;62.3;92;1;10.4;0.4;49.9
392;20230102133000;UEB;232;12.4;44.3;54.7;81;0;10.5;0.4;49.7
392;20230102134000;UEB;227;11.7;42.1;52.2;128;5;10.3;0.4;50.3
392;20230102135000;UEB;225;12.0;42.8;51.1;158;5;10.2;0.6;51.3
392;20230102140000;UEB;227;11.4;41.0;50.4;127;1;10.3;0.8;51.8
392;20230102141000;UEB;230;11.4;40.7;46.4;69;0;10.1;1.0;53.2
392;20230102142000;UEB;234;10.9;39.2;42.8;72;0;10.1;1.3;54.2
392;20230102143000;UEB;237;10.2;36.7;42.8;65;0;10.1;1.3;54.3
392;20230102144000;UEB;232;9.6;34.2;42.1;70;0;9.8;1.6;56.5
