station;termin;nat_abbr;th9120dv;th91dndv;th91dxdv;ths200d0;ths200dn;ths200dx
75;20230613000000;BAS;2.9;-0.3;4.2;20.9;12.7;27.7
75;20230614000000;BAS;1.8;-3.6;3.9;19.9;9.5;27.5
75;20230615000000;BAS;2.3;-1.2;3.6;20.5;12.0;27.3
75;20230616000000;BAS;3.0;1.1;4.3;21.3;14.3;28.1
75;20230617000000;BAS;3.7;1.1;5.2;22.1;14.4;29.1
75;20230618000000;BAS;4.2;1.8;8.5;22.7;15.2;32.5
75;20230619000000;BAS;5.1;4.6;5.4;23.7;18.1;29.5
75;20230620000000;BAS;4.9;5.4;8.5;23.6;19.0;32.7
75;20230621000000;BAS;2.9;4.4;2.8;21.7;18.0;27.1
75;20230622000000;BAS;1.9;2.9;2.1;20.8;16.6;26.5
75;20230623000000;BAS;1.5;1.4;1.1;20.4;15.2;25.6
75;20230624000000;BAS;2.5;-0.5;3.4;21.5;13.4;28.0
75;20230625000000;BAS;3.9;-0.3;5.4;23.0;13.6;30.0
75;20230626000000;BAS;3.8;3.0;2.9;23.0;17.0;27.6
75;20230627000000;BAS;0.5;0.7;-0.4;19.7;14.7;24.4
75;20230628000000;BAS;0.4;-1.0;0.9;19.7;13.1;25.8
75;20230629000000;BAS;3.1;0.5;3.5;22.5;14.7;28.4
75;20230630000000;BAS;-0.8;2.5;-3.7;18.6;16.7;21.3
75;20230701000000;BAS;-0.7;1.1;-3.1;18.9;15.4;22.0
75;20230702000000;BAS;0.3;1.9;-1.0;19.9;16.3;24.2
75;20230703000000;BAS;0.7;2.4;-1.1;20.4;16.8;24.2
75;20230704000000;BAS;0.7;2.5;0.0;20.5;17.0;25.3
75;20230705000000;BAS;-1.0;0.1;-2.2;18.8;14.6;23.2
