station;termin;nat_abbr;cc1000s0;ccl000s0;nto000s0;vho000s0;wat000s0
75;20220609054000;BAS;8;;1;84;2
75;20220609114000;BAS;8;;7;80;80
75;20220609174000;BAS;8;;7;83;15
75;20220610054000;BAS;;;0;84;2
75;20220610114000;BAS;8;;1;84;2
75;20220610174000;BAS;8;;1;86;2
75;20220611055000;BAS;;;0;86;2
75;20220611114000;BAS;8;;1;86;2
75;20220611174000;BAS;8;;1;85;2
75;20220612055000;BAS;8;;1;84;1
75;20220612114000;BAS;8;;1;86;2
75;20220612174000;BAS;8;;6;84;15
75;20220613054000;BAS;8;;8;82;2
75;20220613114000;BAS;8;;1;84;2
75;20220613174000;BAS;8;;1;84;1
75;20220614054000;BAS;;;0;83;2
75;20220614113000;BAS;0;;3;84;3
75;20220614174000;BAS;3;;6;80;2
75;20220615054000;BAS;3;;4;83;2
75;20220615114000;BAS;0;;1;83;2
75;20220615174000;BAS;8;;2;83;2
75;20220616055000;BAS;8;;5;83;1
75;20220616114000;BAS;8;;2;84;2
75;20220616175000;BAS;6;;4;82;2
75;20220617055000;BAS;6;;6;84;1
75;20220617114000;BAS;3;;4;82;2
75;20220617174000;BAS;0;;3;86;2
75;20220618054000;BAS;0;;1;84;2
75;20220618114000;BAS;;;0;82;2
75;20220618174000;BAS;;;0;64;5
75;20220619054000;BAS;;;0;80;2
75;20220619114000;BAS;8;;1;80;2
75;20220619174000;BAS;6;;1;81;2
75;20220620055000;BAS;3;;1;82;1
75;20220620114000;BAS;8;;1;82;2
75;20220620174000;BAS;;;0;82;2
75;20220621055000;BAS;6;;7;75;3
75;20220621114000;BAS;8;;5;80;2
75;20220621174000;BAS;8;;8;82;3
75;20220622054000;BAS;6;;7;81;2
75;20220622114000;BAS;7;;7;81;21
75;20220622174000;BAS;7;;8;50;29
75;20220623054000;BAS;3;;2;81;1
75;20220623114000;BAS;8;;2;83;2
75;20220623175000;BAS;9;;7;62;17
75;20220624055000;BAS;3;;2;82;1
75;20220624114000;BAS;8;;8;58;80
75;20220624174000;BAS;8;;7;86;14
75;20220625055000;BAS;7;;1;80;1
75;20220625114000;BAS;8;;1;84;2
75;20220625174000;BAS;8;;6;88;3
75;20220626054000;BAS;6;;6;85;1
75;20220626114000;BAS;8;;6;84;2
75;20220626175000;BAS;6;;5;84;2
75;20220627054000;BAS;8;;7;80;2
75;20220627114000;BAS;8;;7;86;1
75;20220627174000;BAS;6;;7;89;2
75;20220628055000;BAS;6;;8;75;21
75;20220628114000;BAS;6;;7;82;3
75;20220628174000;BAS;6;;8;82;2
75;20220629054000;BAS;6;;1;81;2
75;20220629114000;BAS;8;;6;83;2
75;20220629174000;BAS;6;;1;84;2
75;20220630054000;BAS;3;;1;86;2
75;20220630114000;BAS;8;;2;84;3
75;20220630175000;BAS;9;;8;60;95
75;20220701054000;BAS;8;;8;81;80
75;20220701114000;BAS;8;;6;86;1
75;20220701174000;BAS;8;;2;88;2
75;20220702054000;BAS;;;0;86;2
75;20220702114000;BAS;;;0;86;2
75;20220702174000;BAS;;;0;86;2
75;20220703055000;BAS;0;;1;86;2
75;20220703114000;BAS;3;;2;86;3
75;20220703174000;BAS;8;;1;86;2
75;20220704055000;BAS;8;;8;80;25
75;20220704114000;BAS;8;;7;84;3
75;20220704174000;BAS;6;;7;84;2
75;20220705054000;BAS;6;;2;86;2
75;20220705114000;BAS;8;;3;84;2
75;20220705174000;BAS;8;;1;86;2
75;20220706054000;BAS;3;;3;83;2
75;20220706114000;BAS;8;;1;83;2
75;20220706175000;BAS;4;;7;86;1
75;20220707054000;BAS;;;0;86;2
75;20220707114000;BAS;6;;7;85;3
75;20220707174000;BAS;8;;7;84;2
75;20220708054000;BAS;6;;1;83;2
75;20220708114000;BAS;8;;1;84;2
75;20220708174000;BAS;8;;1;86;2
75;20220709055000;BAS;0;;2;86;2
75;20220709114000;BAS;8;;5;86;3
75;20220709174000;BAS;8;;6;84;2
75;20220710055000;BAS;8;;5;80;2
75;20220710114000;BAS;8;;2;84;2
75;20220710174000;BAS;6;;1;86;1
75;20220711054000;BAS;0;;1;88;2
75;20220711114000;BAS;0;;1;88;2
75;20220711174000;BAS;8;;2;86;2
75;20220712054000;BAS;3;;2;85;2
75;20220712114000;BAS;8;;1;84;2
75;20220712174000;BAS;8;;6;84;3
75;20220713054000;BAS;;;0;84;2
75;20220713115000;BAS;3;;2;84;3
75;20220713175000;BAS;3;;7;84;2
75;20220714055000;BAS;3;;3;86;1
75;20220714114000;BAS;0;;2;86;3
75;20220714175000;BAS;8;;2;84;2
75;20220715054000;BAS;;;0;83;2
75;20220715114000;BAS;8;;1;84;2
75;20220715174000;BAS;8;;1;84;2
75;20220716054000;BAS;;;0;84;2
75;20220716114000;BAS;0;;1;84;2
75;20220716174000;BAS;0;;1;84;2
75;20220717054000;BAS;;;0;84;2
75;20220717114000;BAS;0;;1;86;3
75;20220717174000;BAS;0;;1;84;2
75;20220718055000;BAS;0;;2;84;2
75;20220718114000;BAS;0;;1;85;2
75;20220718174000;BAS;0;;2;85;2
75;20220719054000;BAS;;;0;86;2
75;20220719114000;BAS;;;0;84;2
75;20220719174000;BAS;3;;1;85;3
75;20220720054000;BAS;6;;6;84;2
75;20220720115000;BAS;3;;4;75;2
75;20220720174000;BAS;6;;7;80;25
75;20220721055000;BAS;7;;2;58;10
75;20220721115000;BAS;8;;3;84;2
75;20220721175000;BAS;8;;1;84;1
75;20220722055000;BAS;;;0;80;2
75;20220722115000;BAS;6;;1;80;3
75;20220722174000;BAS;8;;7;82;3
75;20220723055000;BAS;8;;7;82;2
75;20220723114000;BAS;8;;4;80;1
75;20220723174000;BAS;8;;3;80;2
75;20220724054000;BAS;8;;1;80;1
75;20220724114000;BAS;8;;1;82;2
75;20220724174000;BAS;;;0;82;2
75;20220725055000;BAS;;;0;81;2
75;20220725114000;BAS;8;;6;84;3
75;20220725174000;BAS;8;;5;82;3
75;20220726055000;BAS;6;;4;84;1
75;20220726114000;BAS;6;;6;84;2
75;20220726175000;BAS;6;;4;84;1
75;20220727055000;BAS;6;;3;82;1
75;20220727115000;BAS;8;;4;84;2
75;20220727174000;BAS;8;;1;83;2
75;20220728054000;BAS;0;;1;84;2
75;20220728114000;BAS;8;;3;84;2
75;20220728174000;BAS;8;;7;82;2
75;20220729055000;BAS;6;;7;86;2
75;20220729114000;BAS;8;;8;83;15
75;20220729174000;BAS;8;;2;84;1
75;20220730055000;BAS;0;;1;84;2
75;20220730114000;BAS;8;;6;84;3
75;20220730174000;BAS;8;;6;82;1
75;20220731055000;BAS;3;;4;86;2
75;20220731115000;BAS;8;;3;85;2
75;20220731174000;BAS;6;;2;85;2
75;20220801055000;BAS;3;;1;88;2
75;20220801114000;BAS;8;;1;86;2
75;20220801174000;BAS;6;;8;86;3
75;20220802054000;BAS;0;;7;84;2
75;20220802115000;BAS;8;;6;84;2
75;20220802174000;BAS;6;;2;85;2
75;20220803054000;BAS;0;;2;84;2
75;20220803115000;BAS;0;;1;86;2
75;20220803175000;BAS;;;0;86;2
75;20220804054000;BAS;0;;1;86;2
75;20220804114000;BAS;8;;1;86;2
75;20220804174000;BAS;8;;6;84;16
75;20220805054000;BAS;8;;7;84;1
75;20220805114000;BAS;8;;5;84;2
75;20220805175000;BAS;8;;8;85;2
75;20220806055000;BAS;7;;8;84;2
75;20220806114000;BAS;8;;8;80;20
75;20220806174000;BAS;8;;7;82;1
75;20220807054000;BAS;6;;1;81;1
75;20220807115000;BAS;6;;4;82;3
75;20220807174000;BAS;8;;7;84;1
75;20220808055000;BAS;;;0;86;2
75;20220808114000;BAS;8;;1;84;2
75;20220808175000;BAS;0;;1;84;3
75;20220809055000;BAS;;;0;84;2
75;20220809115000;BAS;;;0;84;2
75;20220809174000;BAS;3;;1;84;2
75;20220810055000;BAS;;;0;86;2
