station;termin;nat_abbr;cc1000s0;ccl000s0;nto000s0;vho000s0;wat000s0
75;20230331114000;BAS;9;;8;65;88
75;20230331174000;BAS;9;;7;65;25
75;20230401054000;BAS;7;;7;81;2
75;20230401114000;BAS;8;;7;84;25
75;20230401174000;BAS;8;;7;82;15
75;20230402054000;BAS;7;;8;81;1
75;20230402114000;BAS;6;;7;87;2
75;20230402174000;BAS;8;;7;84;15
75;20230403055000;BAS;7;;8;60;10
75;20230403114000;BAS;6;;7;84;1
75;20230403174000;BAS;6;;7;86;2
75;20230404055000;BAS;;;0;89;2
75;20230404115000;BAS;6;;1;81;2
75;20230404174000;BAS;0;;1;85;2
75;20230405054000;BAS;0;;2;84;2
75;20230405114000;BAS;8;;1;84;2
75;20230405174000;BAS;8;;1;84;2
75;20230406055000;BAS;3;;4;81;2
75;20230406114000;BAS;3;;8;84;2
75;20230406174000;BAS;6;;8;83;3
75;20230407055000;BAS;6;;7;81;15
75;20230407114000;BAS;7;;8;75;60
75;20230407175000;BAS;6;;7;82;1
75;20230408054000;BAS;6;;5;80;2
75;20230408114000;BAS;6;;7;80;2
75;20230408174000;BAS;6;;8;80;2
75;20230409055000;BAS;6;;1;80;2
75;20230409115000;BAS;6;;2;82;2
75;20230409174000;BAS;8;;1;84;2
75;20230410054000;BAS;0;;7;86;2
75;20230410114000;BAS;2;;7;86;2
75;20230410174000;BAS;6;;8;86;2
75;20230411054000;BAS;5;;8;20;62
75;20230411115000;BAS;8;;8;83;2
75;20230411174000;BAS;6;;8;84;2
75;20230412053000;BAS;6;;8;84;2
75;20230412114000;BAS;6;;8;82;2
75;20230412174000;BAS;6;;8;60;81
75;20230413054000;BAS;6;;6;84;3
75;20230413114000;BAS;6;;6;83;2
75;20230413174000;BAS;8;;7;84;15
75;20230414054000;BAS;8;;6;84;2
75;20230414114000;BAS;8;;7;84;2
75;20230414175000;BAS;3;;7;86;3
75;20230415055000;BAS;7;;8;62;50
75;20230415114000;BAS;7;;8;60;61
75;20230415175000;BAS;6;;7;84;14
75;20230416055000;BAS;8;;8;82;2
75;20230416114000;BAS;6;;8;50;10
75;20230416174000;BAS;8;;8;40;81
75;20230417055000;BAS;7;;8;30;51
75;20230417114000;BAS;8;;7;62;10
75;20230417174000;BAS;7;;6;80;1
75;20230418060000;BAS;7;;8;40;10
75;20230418114000;BAS;6;;8;58;5
75;20230418174000;BAS;6;;6;81;2
75;20230419053000;BAS;7;;8;58;10
75;20230419114000;BAS;6;;8;81;2
75;20230419174000;BAS;6;;7;80;3
75;20230420055000;BAS;8;;8;75;2
75;20230420114000;BAS;6;;8;80;21
75;20230420174000;BAS;6;;1;82;1
75;20230421054000;BAS;6;;2;69;1
75;20230421114000;BAS;6;;7;82;15
75;20230421174000;BAS;6;;7;84;15
75;20230422055000;BAS;6;;6;84;2
75;20230422114000;BAS;6;;7;82;25
75;20230422174000;BAS;6;;8;80;21
75;20230423055000;BAS;8;;7;84;21
75;20230423114000;BAS;8;;6;84;15
75;20230423174000;BAS;7;;8;58;60
75;20230424054000;BAS;8;;6;84;1
75;20230424114000;BAS;8;;7;84;2
75;20230424174000;BAS;;;7;;
75;20230425055000;BAS;6;;8;80;60
75;20230425114000;BAS;8;;6;82;2
75;20230425174000;BAS;8;;7;75;15
75;20230426053000;BAS;;;9;3;45
75;20230426112000;BAS;6;;7;81;2
75;20230426174000;BAS;6;;6;83;2
75;20230427055000;BAS;6;;7;82;25
75;20230427114000;BAS;8;;5;83;2
75;20230427174000;BAS;6;;7;83;3
75;20230428055000;BAS;5;;8;61;61
75;20230428114000;BAS;6;;8;82;21
75;20230428175000;BAS;8;;7;75;29
75;20230429055000;BAS;;;9;1;45
75;20230429114000;BAS;6;;7;82;2
75;20230429174000;BAS;4;;7;82;2
75;20230430055000;BAS;7;;8;30;10
75;20230430115000;BAS;6;;7;82;2
75;20230430174000;BAS;6;;8;88;2
75;20230501055000;BAS;7;;8;57;63
75;20230501115000;BAS;8;;7;81;1
75;20230501174000;BAS;6;;8;86;2
75;20230502055000;BAS;6;;1;75;2
75;20230502114000;BAS;6;;7;75;3
75;20230502174000;BAS;8;;5;80;14
75;20230503054000;BAS;7;;1;58;40
75;20230503114000;BAS;8;;2;80;2
75;20230503175000;BAS;0;;2;84;2
75;20230504055000;BAS;0;;2;82;2
75;20230504114000;BAS;8;;6;82;2
75;20230504174000;BAS;6;;7;82;3
75;20230505054000;BAS;6;;7;82;2
75;20230505114000;BAS;8;;6;82;2
75;20230505174000;BAS;6;;7;80;2
75;20230506054000;BAS;7;;7;58;10
75;20230506115000;BAS;8;;7;80;2
75;20230506174000;BAS;8;;7;84;2
75;20230507053000;BAS;7;;7;81;3
75;20230507114000;BAS;7;;8;81;3
75;20230507174000;BAS;8;;8;70;25
75;20230508054000;BAS;6;;8;84;2
75;20230508114000;BAS;8;;7;84;25
75;20230508174000;BAS;8;;7;80;3
75;20230509055000;BAS;6;;8;75;2
75;20230509114000;BAS;6;;8;82;2
75;20230509174000;BAS;8;;8;12;82
75;20230510054000;BAS;6;;7;75;25
75;20230510114000;BAS;8;;7;84;15
75;20230510174000;BAS;6;;4;83;25
75;20230511054000;BAS;6;;7;86;2
75;20230511115000;BAS;8;;7;86;2
75;20230511174000;BAS;8;;7;80;80
75;20230512055000;BAS;7;;7;62;10
75;20230512114000;BAS;8;;6;70;15
75;20230512174000;BAS;9;;7;80;16
75;20230513054000;BAS;7;;8;57;10
75;20230513115000;BAS;8;;8;81;25
75;20230513174000;BAS;7;;8;67;50
75;20230514055000;BAS;7;;7;56;10
75;20230514114000;BAS;8;;7;80;25
75;20230514174000;BAS;8;;7;70;16
75;20230515055000;BAS;6;;7;84;2
75;20230515114000;BAS;8;;4;84;2
75;20230515174000;BAS;9;;8;75;80
75;20230516055000;BAS;5;;8;30;60
75;20230516114000;BAS;7;;8;40;21
75;20230516174000;BAS;7;;8;70;2
75;20230517053000;BAS;6;;7;75;1
75;20230517114000;BAS;8;;6;80;1
75;20230517175000;BAS;6;;7;83;2
75;20230518055000;BAS;3;;5;83;2
75;20230518114000;BAS;6;;7;82;3
75;20230518174000;BAS;6;;8;83;2
75;20230519054000;BAS;3;;7;82;2
75;20230519114000;BAS;6;;8;82;3
75;20230519174000;BAS;6;;7;82;2
75;20230520055000;BAS;6;;8;81;2
75;20230520114000;BAS;8;;7;80;2
75;20230520175000;BAS;3;;8;80;2
75;20230521055000;BAS;3;;7;40;10
75;20230521114000;BAS;8;;6;65;2
75;20230521174000;BAS;8;;7;80;3
75;20230522054000;BAS;3;;1;82;2
75;20230522114000;BAS;9;;1;82;3
75;20230522174000;BAS;9;;7;60;95
75;20230523055000;BAS;7;;8;30;10
75;20230523115000;BAS;8;;6;58;5
75;20230523175000;BAS;8;;6;80;15
75;20230524054000;BAS;7;;8;70;2
75;20230524112000;BAS;6;;8;68;2
75;20230524175000;BAS;8;;1;80;2
75;20230525055000;BAS;3;;7;81;2
75;20230525114000;BAS;6;;7;80;2
75;20230525175000;BAS;6;;7;82;2
75;20230526054000;BAS;8;;4;75;1
75;20230526114000;BAS;8;;1;80;2
75;20230526174000;BAS;8;;2;80;3
75;20230527054000;BAS;;;0;70;2
75;20230527114000;BAS;8;;1;80;2
75;20230527174000;BAS;8;;1;81;2
75;20230528055000;BAS;;;0;82;2
75;20230528114000;BAS;8;;1;81;2
75;20230528174000;BAS;3;;3;82;3
75;20230529055000;BAS;;;0;82;2
75;20230529114000;BAS;8;;1;82;2
75;20230529174000;BAS;8;;1;82;2
75;20230530055000;BAS;0;;6;80;2
75;20230530114000;BAS;8;;2;80;2
75;20230530174000;BAS;8;;5;83;2
75;20230531054000;BAS;;;0;82;2
75;20230531113000;BAS;8;;1;82;2
75;20230531174000;BAS;6;;1;83;2
75;20230601054000;BAS;;;0;84;2
75;20230601114000;BAS;8;;1;84;3
75;20230601174000;BAS;3;;5;82;3
75;20230602055000;BAS;3;;1;82;2
75;20230602114000;BAS;8;;1;82;2
75;20230602175000;BAS;8;;1;82;2
75;20230603054000;BAS;;;0;82;2
75;20230603114000;BAS;8;;1;82;2
75;20230603175000;BAS;8;;3;82;3
75;20230604054000;BAS;8;;3;84;1
75;20230604115000;BAS;6;;1;82;3
75;20230604175000;BAS;8;;5;80;3
75;20230605054000;BAS;;;0;84;2
75;20230605114000;BAS;8;;1;84;2
75;20230605174000;BAS;8;;4;84;2
75;20230606055000;BAS;8;;1;82;2
75;20230606115000;BAS;8;;5;82;3
75;20230606174000;BAS;8;;1;81;1
75;20230607054000;BAS;8;;4;81;2
75;20230607115000;BAS;8;;1;82;2
75;20230607180000;BAS;8;;1;86;2
75;20230608055000;BAS;8;;6;84;14
75;20230608114000;BAS;3;;1;83;1
75;20230608174000;BAS;8;;2;83;1
75;20230609055000;BAS;;;0;81;2
75;20230609114000;BAS;8;;2;75;2
75;20230609175000;BAS;8;;7;82;1
75;20230610055000;BAS;3;;1;83;1
75;20230610114000;BAS;8;;3;81;2
75;20230610174000;BAS;8;;5;83;15
75;20230611055000;BAS;;;0;80;2
75;20230611114000;BAS;8;;4;82;2
75;20230611174000;BAS;3;;5;84;1
75;20230612055000;BAS;0;;1;84;2
75;20230612114000;BAS;8;;1;84;3
75;20230612174000;BAS;3;;6;84;3
75;20230613055000;BAS;0;;1;84;2
75;20230613114000;BAS;8;;1;84;2
75;20230613174000;BAS;3;;1;84;2
75;20230614054000;BAS;;;0;82;2
75;20230614111000;BAS;6;;1;83;2
75;20230614174000;BAS;6;;1;82;2
75;20230615053000;BAS;;;0;84;0
75;20230615114000;BAS;8;;2;82;2
75;20230615173000;BAS;8;;4;82;3
75;20230616055000;BAS;3;;2;81;3
75;20230616114000;BAS;8;;3;84;2
75;20230616174000;BAS;8;;2;82;1
75;20230617054000;BAS;8;;1;81;2
75;20230617114000;BAS;8;;1;82;2
75;20230617175000;BAS;0;;7;83;2
75;20230618055000;BAS;0;;1;83;2
75;20230618114000;BAS;6;;7;83;2
75;20230618174000;BAS;3;;7;86;2
75;20230619055000;BAS;8;;7;84;1
75;20230619114000;BAS;8;;7;84;2
75;20230619173000;BAS;6;;5;80;2
75;20230620055000;BAS;3;;6;81;2
75;20230620114000;BAS;8;;7;80;2
75;20230620174000;BAS;3;;6;80;1
75;20230621054000;BAS;3;;7;81;2
75;20230621114000;BAS;3;;6;84;2
75;20230621175000;BAS;9;;7;83;95
75;20230622060000;BAS;3;;5;65;3
75;20230622113000;BAS;6;;8;75;3
75;20230622174000;BAS;9;;8;40;97
75;20230623060000;BAS;6;;7;63;10
75;20230623115000;BAS;8;;3;82;1
75;20230623175000;BAS;8;;1;84;1
75;20230624055000;BAS;0;;1;84;2
75;20230624114000;BAS;8;;1;82;2
75;20230624175000;BAS;;;0;85;2
75;20230625055000;BAS;;;0;85;2
75;20230625115000;BAS;6;;1;86;2
75;20230625174000;BAS;;;0;85;2
75;20230626055000;BAS;0;;1;84;2
75;20230626114000;BAS;8;;2;84;1
75;20230626175000;BAS;3;;5;82;3
75;20230627060000;BAS;6;;8;84;2
75;20230627115000;BAS;8;;7;84;2
75;20230627175000;BAS;6;;4;84;1
75;20230628053000;BAS;6;;8;82;2
75;20230628113000;BAS;8;;5;83;2
75;20230628174000;BAS;8;;1;84;2
75;20230629055000;BAS;3;;3;81;2
75;20230629114000;BAS;6;;7;80;3
75;20230629174000;BAS;8;;8;70;2
75;20230630055000;BAS;7;;8;62;21
75;20230630115000;BAS;9;;8;70;80
75;20230630175000;BAS;6;;8;86;2
75;20230701054000;BAS;6;;1;86;1
75;20230701114000;BAS;8;;8;86;3
75;20230701175000;BAS;8;;7;65;15
75;20230702055000;BAS;8;;7;65;2
75;20230702114000;BAS;8;;5;70;1
75;20230702174000;BAS;8;;1;80;1
75;20230703054000;BAS;6;;7;80;2
75;20230703114000;BAS;6;;3;84;2
75;20230703174000;BAS;6;;6;83;2
75;20230704055000;BAS;6;;7;84;3
75;20230704114000;BAS;8;;6;86;2
75;20230704174000;BAS;8;;3;85;2
75;20230705055000;BAS;4;;7;81;3
75;20230705115000;BAS;8;;3;84;1
75;20230705174000;BAS;8;;1;84;1
