Typ;Typ2;SHORT_NAME_TX;DESC_G_TX;NAME_G_TX;Art;TIME_GRANULARITY_TX;DECIMALS_NU;VALUE_RANGE_TX;DATA_TYPE_TX;SHORT_SIGN_TX;PARAMETER_ID
pollen;;kacoryd1;"Hasel; mittlere tägliche Pollenkonzentration 0-0 UTC";Pollendaten;aggregat;D;0;0..10000;Integer;No/m³;4844
pollen;;kafagud0;"Buche; mittlere tägliche Pollenkonzentration";Pollendaten;aggregat;D;0;0..10000;Integer;No/m³;1348
pollen;;kafagud1;"Buche; mittlere tägliche Pollenkonzentration 0-0 UTC";Pollendaten;aggregat;D;0;0..10000;Integer;No/m³;4845
pollen;;kafraxd0;"Gemeine Esche; mittlere tägliche Pollenkonzentration";Pollendaten;aggregat;D;0;0..10000;Integer;No/m³;1352
pollen;;kafraxd1;"Gemeine Esche; mittlere tägliche Pollenkonzentration 0-0 UTC";Pollendaten;aggregat;D;0;0..10000;Integer;No/m³;4846
pollen;;kaquerd0;"Eiche; mittlere tägliche Pollenkonzentration";Pollendaten;aggregat;D;0;0..10000;Integer;No/m³;1401
pollen;;kaquerd1;"Eiche; mittlere tägliche Pollenkonzentration 0-0 UTC";Pollendaten;aggregat;D;0;0..10000;Integer;No/m³;4856
pollen;;khpoacd0;"Gräser; mittlere tägliche Pollenkonzentration";Pollendaten;aggregat;D;0;0..10000;Integer;No/m³;1469
pollen;;khpoacd1;"Gräser; mittlere tägliche Pollenkonzentration 0-0 UTC";Pollendaten;aggregat;D;0;0..10000;Integer;No/m³;4870
smn;;dkl010h0;"Windrichtung; Stundenmittel";Wind;aggregat;H;0;0..360;Integer;°;282
smn;;dkl010z0;"Windrichtung; Zehnminutenmittel";Wind;originalwert;T;0;0..360;Integer;°;197
smn;;fkl010d0;"Windgeschwindigkeit skalar; Tagesmittel";Wind;aggregat;D;1;0..99.9;Float;m/s;231
smn;;fkl010d1;"Böenspitze (Sekundenböe); Tagesmaximum";Wind;aggregat;D;1;0..999.9;Float;m/s;232
smn;;fkl010h0;"Windgeschwindigkeit skalar; Stundenmittel";Wind;aggregat;H;1;0..99.9;Float;m/s;283
smn;;fkl010h1;"Böenspitze (Sekundenböe); Stundenmaximum";Wind;aggregat;H;1;0..999.9;Float;m/s;270
smn;;fkl010m0;"Windgeschwindigkeit skalar; Monatsmittel";Wind;aggregat;M;1;0..99.9;Float;m/s;382
smn;;fkl010m1;"Böenspitze (Sekundenböe); Monatsmaximum";Wind;aggregat;M;1;0..999.9;Float;m/s;384
smn;;fkl010y0;"Windgeschwindigkeit skalar; Jahresmittel";Wind;aggregat;Y;1;0..99.9;Float;m/s;497
smn;;fkl010y1;"Böenspitze (Sekundenböe); Jahresmaximum";Wind;aggregat;Y;1;0..999.9;Float;m/s;499
smn;;fkl010z0;"Windgeschwindigkeit skalar; Zehnminutenmittel";Wind;originalwert;T;1;0..99.9;Float;m/s;196
smn;;fkl010z1;"Böenspitze (Sekundenböe); Maximum";Wind;originalwert;T;1;0..999.9;Float;m/s;101
smn;;fu3010d0;"Windgeschwindigkeit skalar; Tagesmittel";Wind;aggregat;D;1;0..999.9;Float;km/h;1085
smn;;fu3010d1;"Böenspitze (Sekundenböe); Tagesmaximum";Wind;aggregat;D;1;0..999.9;Float;km/h;1940
smn;;fu3010h0;"Windgeschwindigkeit skalar; Stundenmittel";Wind;aggregat;H;1;0..999.9;Float;km/h;1084
smn;;fu3010h1;"Böenspitze (Sekundenböe); Stundenmaximum";Wind;aggregat;H;1;0..999.9;Float;km/h;1939
smn;;fu3010m0;"Windgeschwindigkeit skalar; Monatsmittel";Wind;aggregat;M;1;0..999.9;Float;km/h;1086
smn;;fu3010m1;"Böenspitze (Sekundenböe); Monatsmaximum";Wind;aggregat;M;1;0..999.9;Float;km/h;1941
smn;;fu3010y0;"Windgeschwindigkeit skalar; Jahresmittel";Wind;aggregat;Y;1;0..999.9;Float;km/h;1087
