station;termin;nat_abbr;dk1towh0;fu3towh0;fu3towh1;gre000h0;sre000h0;ta1towh0;ta1towhn;ta1towhx;tdetowh0;uretowh0
392;20230216230000;UEB;243;37.1;40.7;4;0;7.2;6.9;7.5;-3.3;47.0
392;20230217000000;UEB;242;39.2;48.2;4;0;7.0;6.9;7.2;-3.3;47.7
392;20230217010000;UEB;238;39.2;47.5;4;0;6.7;6.5;6.8;-3.8;47.2
392;20230217020000;UEB;239;40.3;46.4;4;0;6.4;6.4;6.5;-4.0;47.4
392;20230217030000;UEB;241;44.6;54.4;4;0;6.3;6.1;6.5;-3.6;48.9
392;20230217040000;UEB;240;49.3;57.2;4;0;6.5;6.1;6.7;-3.7;48.4
392;20230217050000;UEB;239;43.2;55.1;4;0;6.5;6.2;6.8;-2.7;51.8
392;20230217060000;UEB;237;43.2;53.3;4;0;6.7;6.6;6.8;-2.8;50.7
392;20230217070000;UEB;236;38.5;52.2;8;0;6.4;5.9;6.6;-2.8;51.9
392;20230217080000;UEB;238;40.0;51.1;50;0;6.0;5.8;6.1;-2.4;54.9
392;20230217090000;UEB;238;41.0;49.7;97;0;6.1;6.0;6.2;-1.1;59.8
392;20230217100000;UEB;238;33.5;44.3;153;0;6.1;6.0;6.1;-0.2;64.1
392;20230217110000;UEB;232;35.6;45.7;193;0;6.6;6.2;6.9;0.9;67.2
392;20230217120000;UEB;234;34.9;49.7;151;0;7.2;6.9;7.4;1.1;64.9
392;20230217130000;UEB;235;29.2;41.4;145;0;7.5;7.3;7.9;2.0;68.0
392;20230217140000;UEB;241;26.3;38.2;104;0;8.2;8.0;8.3;2.4;67.2
392;20230217150000;UEB;246;30.6;43.9;127;1;8.6;8.5;8.7;2.4;64.9
392;20230217160000;UEB;248;27.7;39.2;58;0;8.6;8.5;8.7;3.2;69.0
392;20230217170000;UEB;242;34.9;46.1;24;0;8.5;8.4;8.5;3.9;73.1
392;20230217180000;UEB;243;38.2;49.7;4;0;8.4;8.2;8.5;4.0;73.9
392;20230217190000;UEB;246;44.3;53.6;4;0;8.5;8.3;8.7;4.0;73.1
392;20230217200000;UEB;239;49.0;61.6;4;0;8.3;8.2;8.4;4.4;76.2
392;20230217210000;UEB;234;42.1;59.8;4;0;8.2;7.9;8.5;3.7;73.2
392;20230217220000;UEB;241;41.4;56.2;4;0;8.0;7.9;8.1;4.1;76.6
392;20230217230000;UEB;247;41.8;49.3;4;0;7.5;6.7;8.0;4.0;78.3
392;20230218000000;UEB;257;27.4;38.2;4;0;6.4;6.2;6.5;5.2;92.4
392;20230218010000;UEB;262;30.6;35.3;4;0;6.6;6.5;6.7;6.5;99.3
392;20230218020000;UEB;246;29.2;36.7;4;0;6.5;6.2;6.7;6.1;97.2
392;20230218030000;UEB;238;31.7;40.0;4;0;6.3;6.2;6.6;5.4;94.0
392;20230218040000;UEB;244;40.7;45.4;4;0;6.6;6.4;6.7;4.9;88.7
