station;termin;nat_abbr;rre150d0
536;20230430000000;AIR;18.0
536;20230501000000;AIR;8.8
536;20230502000000;AIR;0.0
536;20230503000000;AIR;0.0
536;20230504000000;AIR;0.0
536;20230505000000;AIR;2.9
536;20230506000000;AIR;0.0
536;20230507000000;AIR;4.9
536;20230508000000;AIR;0.0
536;20230509000000;AIR;14.1
536;20230510000000;AIR;0.0
536;20230511000000;AIR;0.0
536;20230512000000;AIR;6.6
536;20230513000000;AIR;0.2
536;20230514000000;AIR;0.0
536;20230515000000;AIR;0.0
536;20230516000000;AIR;0.0
536;20230517000000;AIR;0.0
536;20230518000000;AIR;4.2
536;20230519000000;AIR;7.7
536;20230520000000;AIR;3.7
536;20230521000000;AIR;0.2
536;20230522000000;AIR;0.0
536;20230523000000;AIR;0.0
536;20230524000000;AIR;17.2
536;20230525000000;AIR;3.9
536;20230526000000;AIR;0.0
536;20230527000000;AIR;0.0
536;20230528000000;AIR;0.0
536;20230529000000;AIR;0.3
536;20230530000000;AIR;0.8
536;20230531000000;AIR;0.5
536;20230601000000;AIR;0.0
536;20230602000000;AIR;4.9
536;20230603000000;AIR;4.9
536;20230604000000;AIR;0.0
536;20230605000000;AIR;0.0
536;20230606000000;AIR;0.0
536;20230607000000;AIR;14.3
536;20230608000000;AIR;0.0
536;20230609000000;AIR;3.1
536;20230610000000;AIR;0.5
536;20230611000000;AIR;0.0
536;20230612000000;AIR;2.5
536;20230613000000;AIR;0.1
536;20230614000000;AIR;0.0
536;20230615000000;AIR;0.1
536;20230616000000;AIR;0.0
536;20230617000000;AIR;0.0
536;20230618000000;AIR;1.3
536;20230619000000;AIR;15.4
536;20230620000000;AIR;0.1
536;20230621000000;AIR;1.1
536;20230622000000;AIR;31.6
536;20230623000000;AIR;0.0
536;20230624000000;AIR;0.0
536;20230625000000;AIR;0.0
536;20230626000000;AIR;0.0
536;20230627000000;AIR;0.0
536;20230628000000;AIR;0.0
536;20230629000000;AIR;8.2
536;20230630000000;AIR;16.5
536;20230701000000;AIR;0.0
536;20230702000000;AIR;0.0
536;20230703000000;AIR;0.0
536;20230704000000;AIR;0.0
536;20230705000000;AIR;1.8
