station;termin;nat_abbr;rre150z0
536;20220104003000;AIR;0.0
536;20220104004000;AIR;0.0
536;20220104005000;AIR;0.0
536;20220104010000;AIR;0.0
536;20220104011000;AIR;0.0
536;20220104012000;AIR;0.0
536;20220104013000;AIR;0.0
536;20220104014000;AIR;0.0
536;20220104015000;AIR;0.0
536;20220104020000;AIR;0.0
536;20220104021000;AIR;0.0
536;20220104022000;AIR;0.0
536;20220104023000;AIR;0.0
536;20220104024000;AIR;0.0
536;20220104025000;AIR;0.0
536;20220104030000;AIR;0.1
536;20220104031000;AIR;0.0
536;20220104032000;AIR;0.0
536;20220104033000;AIR;0.0
536;20220104034000;AIR;0.0
536;20220104035000;AIR;0.0
536;20220104040000;AIR;0.0
536;20220104041000;AIR;0.0
536;20220104042000;AIR;0.0
536;20220104043000;AIR;0.1
536;20220104044000;AIR;0.0
536;20220104045000;AIR;0.1
536;20220104050000;AIR;0.1
536;20220104051000;AIR;0.0
536;20220104052000;AIR;0.1
536;20220104053000;AIR;0.0
536;20220104054000;AIR;0.0
536;20220104055000;AIR;0.0
536;20220104060000;AIR;0.0
536;20220104061000;AIR;0.0
536;20220104062000;AIR;0.0
536;20220104063000;AIR;0.0
536;20220104064000;AIR;0.0
536;20220104065000;AIR;0.0
536;20220104070000;AIR;0.0
536;20220104071000;AIR;0.0
536;20220104072000;AIR;0.0
536;20220104073000;AIR;0.0
536;20220104074000;AIR;0.0
536;20220104075000;AIR;0.0
536;20220104080000;AIR;0.0
536;20220104081000;AIR;0.0
536;20220104082000;AIR;0.0
536;20220104083000;AIR;0.0
536;20220104084000;AIR;0.0
536;20220104085000;AIR;0.0
536;20220104090000;AIR;0.0
536;20220104091000;AIR;0.0
536;20220104092000;AIR;0.0
536;20220104093000;AIR;0.0
536;20220104094000;AIR;0.0
536;20220104095000;AIR;0.0
536;20220104100000;AIR;0.0
536;20220104101000;AIR;0.0
536;20220104102000;AIR;0.0
536;20220104103000;AIR;0.0
536;20220104104000;AIR;0.0
536;20220104105000;AIR;0.0
536;20220104110000;AIR;0.0
536;20220104111000;AIR;0.0
536;20220104112000;AIR;0.0
536;20220104113000;AIR;0.0
536;20220104114000;AIR;0.0
536;20220104115000;AIR;0.1
536;20220104120000;AIR;0.0
536;20220104121000;AIR;0.0
536;20220104122000;AIR;0.0
536;20220104123000;AIR;0.0
536;20220104124000;AIR;0.0
536;20220104125000;AIR;0.1
536;20220104130000;AIR;0.0
536;20220104131000;AIR;0.0
536;20220104132000;AIR;0.0
536;20220104133000;AIR;0.1
536;20220104134000;AIR;0.0
536;20220104135000;AIR;0.0
536;20220104140000;AIR;0.0
536;20220104141000;AIR;0.0
536;20220104142000;AIR;0.1
536;20220104143000;AIR;0.0
536;20220104144000;AIR;0.1
536;20220104145000;AIR;0.0
536;20220104150000;AIR;0.0
536;20220104151000;AIR;0.1
