station;termin;nat_abbr;rre150m0
536;19260101000000;AIR;75.0
536;19260201000000;AIR;191.1
536;19260301000000;AIR;82.4
536;19260401000000;AIR;129.8
536;19260501000000;AIR;327.5
536;19260601000000;AIR;102.6
536;19260701000000;AIR;127.9
536;19260801000000;AIR;48.0
536;19260901000000;AIR;70.0
536;19261001000000;AIR;367.0
536;19261101000000;AIR;756.1
536;19261201000000;AIR;23.0
536;19270101000000;AIR;67.9
536;19270201000000;AIR;62.8
536;19270301000000;AIR;177.0
536;19270401000000;AIR;125.2
536;19270501000000;AIR;76.1
536;19270601000000;AIR;340.0
536;19270701000000;AIR;252.5
536;19270801000000;AIR;230.1
536;19270901000000;AIR;342.9
536;19271001000000;AIR;47.5
536;19271101000000;AIR;362.5
536;19271201000000;AIR;93.5
536;19280101000000;AIR;43.3
536;19280201000000;AIR;93.7
536;19280301000000;AIR;224.8
536;19280401000000;AIR;299.5
536;19280501000000;AIR;139.7
536;19280601000000;AIR;161.0
536;19280701000000;AIR;28.0
536;19280801000000;AIR;156.6
536;19280901000000;AIR;43.2
536;19281001000000;AIR;612.2
536;19281101000000;AIR;215.5
536;19281201000000;AIR;45.4
536;19290101000000;AIR;12.9
536;19290201000000;AIR;2.9
536;19290301000000;AIR;8.9
536;19290401000000;AIR;348.8
536;19290501000000;AIR;140.0
536;19290601000000;AIR;77.9
536;19290701000000;AIR;100.9
536;19290801000000;AIR;160.1
536;19290901000000;AIR;30.7
536;19291001000000;AIR;310.4
536;19291101000000;AIR;100.3
536;19291201000000;AIR;125.8
536;19300101000000;AIR;86.8
536;19300201000000;AIR;21.8
536;19300301000000;AIR;90.6
536;19300401000000;AIR;205.0
536;19300501000000;AIR;169.5
536;19300601000000;AIR;145.4
536;19300701000000;AIR;172.5
536;19300801000000;AIR;110.2
536;19300901000000;AIR;146.9
536;19301001000000;AIR;54.0
536;19301101000000;AIR;296.5
536;19301201000000;AIR;34.9
536;19310101000000;AIR;78.8
536;19310201000000;AIR;134.7
536;19310301000000;AIR;69.8
536;19310401000000;AIR;46.9
536;19310501000000;AIR;227.7
536;19310601000000;AIR;66.5
536;19310701000000;AIR;264.5
536;19310801000000;AIR;302.0
536;19310901000000;AIR;135.0
536;19311001000000;AIR;105.0
536;19311101000000;AIR;203.9
536;19311201000000;AIR;16.2
536;19320101000000;AIR;56.6
536;19320201000000;AIR;6.4
536;19320301000000;AIR;54.8
536;19320401000000;AIR;100.3
536;19320501000000;AIR;413.7
536;19320601000000;AIR;206.8
536;19320701000000;AIR;253.3
536;19320801000000;AIR;42.9
536;19320901000000;AIR;505.4
536;19321001000000;AIR;266.7
536;19321101000000;AIR;68.2
536;19321201000000;AIR;119.5
536;19330101000000;AIR;68.4
536;19330201000000;AIR;19.9
536;19330301000000;AIR;109.0
536;19330401000000;AIR;86.7
536;19330501000000;AIR;125.3
536;19330601000000;AIR;256.8
536;19330701000000;AIR;158.0
536;19330801000000;AIR;25.3
536;19330901000000;AIR;269.8
536;19331001000000;AIR;176.3
536;19331101000000;AIR;219.1
536;19331201000000;AIR;59.5
536;19340101000000;AIR;33.6
536;19340201000000;AIR;60.1
536;19340301000000;AIR;166.3
536;19340401000000;AIR;231.4
536;19340501000000;AIR;54.5
536;19340601000000;AIR;100.0
536;19340701000000;AIR;80.4
536;19340801000000;AIR;285.2
536;19340901000000;AIR;39.3
536;19341001000000;AIR;75.1
536;19341101000000;AIR;352.3
536;19341201000000;AIR;123.2
536;19350101000000;AIR;19.0
536;19350201000000;AIR;163.9
536;19350301000000;AIR;22.0
536;19350401000000;AIR;118.1
536;19350501000000;AIR;190.1
536;19350601000000;AIR;177.6
536;19350701000000;AIR;67.2
536;19350801000000;AIR;379.3
536;19350901000000;AIR;116.2
536;19351001000000;AIR;406.0
536;19351101000000;AIR;357.0
536;19351201000000;AIR;298.0
536;19360101000000;AIR;189.3
536;19360201000000;AIR;86.2
536;19360301000000;AIR;176.8
536;19360401000000;AIR;170.0
536;19360501000000;AIR;110.8
536;19360601000000;AIR;95.4
536;19360701000000;AIR;320.2
536;19360801000000;AIR;40.0
536;19360901000000;AIR;198.0
536;19361001000000;AIR;38.0
536;19361101000000;AIR;109.3
536;19361201000000;AIR;144.9
536;19370101000000;AIR;75.0
536;19370201000000;AIR;169.3
536;19370301000000;AIR;296.6
536;19370401000000;AIR;80.7
536;19370501000000;AIR;253.6
536;19370601000000;AIR;98.4
536;19370701000000;AIR;81.8
536;19370801000000;AIR;78.7
536;19370901000000;AIR;352.7
536;19371001000000;AIR;376.9
536;19371101000000;AIR;65.0
536;19371201000000;AIR;93.2
536;19380101000000;AIR;79.4
536;19380201000000;AIR;18.9
536;19380301000000;AIR;23.1
536;19380401000000;AIR;26.4
536;19380501000000;AIR;160.6
536;19380601000000;AIR;231.6
536;19380701000000;AIR;273.3
536;19380801000000;AIR;128.5
536;19380901000000;AIR;157.9
536;19381001000000;AIR;93.8
536;19381101000000;AIR;112.3
536;19381201000000;AIR;99.7
536;19390101000000;AIR;187.0
536;19390201000000;AIR;73.2
536;19390301000000;AIR;58.0
536;19390401000000;AIR;333.7
536;19390501000000;AIR;223.4
536;19390601000000;AIR;187.6
536;19390701000000;AIR;289.0
536;19390801000000;AIR;271.9
536;19390901000000;AIR;96.4
536;19391001000000;AIR;309.6
536;19391101000000;AIR;205.4
536;19391201000000;AIR;58.1
536;19400101000000;AIR;35.0
536;19400201000000;AIR;35.9
536;19400301000000;AIR;153.6
536;19400401000000;AIR;182.4
536;19400501000000;AIR;107.6
536;19400601000000;AIR;185.8
536;19400701000000;AIR;227.7
536;19400801000000;AIR;52.2
536;19400901000000;AIR;214.1
536;19401001000000;AIR;208.7
536;19401101000000;AIR;227.3
536;19401201000000;AIR;96.0
536;19410101000000;AIR;128.8
536;19410201000000;AIR;63.8
536;19410301000000;AIR;129.6
536;19410401000000;AIR;255.1
536;19410501000000;AIR;236.5
536;19410601000000;AIR;110.6
536;19410701000000;AIR;86.9
536;19410801000000;AIR;195.8
536;19410901000000;AIR;42.9
536;19411001000000;AIR;86.6
536;19411101000000;AIR;140.0
536;19411201000000;AIR;11.4
536;19420101000000;AIR;53.5
536;19420201000000;AIR;33.8
536;19420301000000;AIR;50.1
536;19420401000000;AIR;72.0
536;19420501000000;AIR;95.8
536;19420601000000;AIR;107.9
536;19420701000000;AIR;72.0
536;19420801000000;AIR;136.4
536;19420901000000;AIR;424.1
536;19421001000000;AIR;355.9
536;19421101000000;AIR;63.9
536;19421201000000;AIR;115.0
536;19430101000000;AIR;89.4
536;19430201000000;AIR;12.5
536;19430301000000;AIR;77.9
536;19430401000000;AIR;104.4
536;19430501000000;AIR;123.8
536;19430601000000;AIR;57.6
536;19430701000000;AIR;105.7
536;19430801000000;AIR;76.8
536;19430901000000;AIR;335.8
536;19431001000000;AIR;111.4
536;19431101000000;AIR;64.4
536;19431201000000;AIR;60.6
536;19440101000000;AIR;30.0
536;19440201000000;AIR;71.5
536;19440301000000;AIR;19.0
536;19440401000000;AIR;75.5
536;19440501000000;AIR;75.3
536;19440601000000;AIR;81.6
536;19440701000000;AIR;164.7
536;19440801000000;AIR;111.8
536;19440901000000;AIR;147.9
536;19441001000000;AIR;279.4
536;19441101000000;AIR;162.0
536;19441201000000;AIR;73.1
536;19450101000000;AIR;55.7
536;19450201000000;AIR;59.5
536;19450301000000;AIR;53.2
536;19450401000000;AIR;36.6
536;19450501000000;AIR;163.4
536;19450601000000;AIR;47.8
536;19450701000000;AIR;51.4
536;19450801000000;AIR;270.2
536;19450901000000;AIR;57.8
536;19451001000000;AIR;218.1
536;19451101000000;AIR;49.6
536;19451201000000;AIR;155.5
536;19460101000000;AIR;171.4
536;19460201000000;AIR;129.8
536;19460301000000;AIR;161.6
536;19460401000000;AIR;79.4
536;19460501000000;AIR;286.0
536;19460601000000;AIR;260.5
536;19460701000000;AIR;97.1
536;19460801000000;AIR;289.6
536;19460901000000;AIR;150.7
536;19461001000000;AIR;40.0
536;19461101000000;AIR;76.9
536;19461201000000;AIR;12.1
536;19470101000000;AIR;50.3
536;19470201000000;AIR;99.4
536;19470301000000;AIR;239.0
536;19470401000000;AIR;64.8
536;19470501000000;AIR;178.3
536;19470601000000;AIR;128.2
536;19470701000000;AIR;115.3
536;19470801000000;AIR;99.2
536;19470901000000;AIR;160.7
536;19471001000000;AIR;61.9
536;19471101000000;AIR;166.1
536;19471201000000;AIR;114.5
536;19480101000000;AIR;202.0
536;19480201000000;AIR;90.5
536;19480301000000;AIR;17.6
536;19480401000000;AIR;156.8
536;19480501000000;AIR;174.5
536;19480601000000;AIR;153.9
536;19480701000000;AIR;105.0
536;19480801000000;AIR;242.9
536;19480901000000;AIR;259.6
536;19481001000000;AIR;131.0
536;19481101000000;AIR;17.5
536;19481201000000;AIR;37.9
536;19490101000000;AIR;91.3
536;19490201000000;AIR;1.5
536;19490301000000;AIR;24.3
536;19490401000000;AIR;132.5
536;19490501000000;AIR;276.9
536;19490601000000;AIR;38.9
536;19490701000000;AIR;33.5
536;19490801000000;AIR;91.0
536;19490901000000;AIR;74.2
536;19491001000000;AIR;106.5
536;19491101000000;AIR;167.6
536;19491201000000;AIR;100.6
536;19500101000000;AIR;54.4
536;19500201000000;AIR;175.4
536;19500301000000;AIR;12.9
536;19500401000000;AIR;143.8
536;19500501000000;AIR;299.4
536;19500601000000;AIR;91.1
536;19500701000000;AIR;98.6
536;19500801000000;AIR;310.1
536;19500901000000;AIR;136.2
536;19501001000000;AIR;5.2
536;19501101000000;AIR;333.1
536;19501201000000;AIR;107.7
536;19510101000000;AIR;188.9
536;19510201000000;AIR;290.6
536;19510301000000;AIR;121.9
536;19510401000000;AIR;148.5
536;19510501000000;AIR;175.1
