station;termin;nat_abbr;dkl010z0;fkl010z0;fkl010z1;fu3010z0;fu3010z1;fve010z0;gre000z0;oli000z0;pp0qffs0;pp0qnhs0;ppz700s0;ppz850s0;prestas0;pva200s0;rre150z0;sre000z0;tde200s0;tre005s0;tre200s0;ure200s0;wcc006s1
75;20230501220000;BAS;218;1.7;2.2;6.1;7.9;1.7;0;359;1019.3;1019.2;;;981.4;12.1;0.1;0;9.8;10.2;11.1;91.8;
75;20230501221000;BAS;209;1.6;2.0;5.8;7.2;1.6;0;353;1019.3;1019.2;;;981.4;12.2;0.0;0;9.9;10.2;11.0;93.1;
75;20230501222000;BAS;195;1.4;1.9;5.0;6.8;1.4;0;347;1019.3;1019.2;;;981.4;11.9;0.0;0;9.6;10.1;11.0;90.8;
75;20230501223000;BAS;181;2.3;3.8;8.3;13.7;2.3;0;341;1019.3;1019.2;;;981.4;12.0;0.0;0;9.7;9.9;10.8;92.7;
75;20230501224000;BAS;196;3.5;4.7;12.6;16.9;3.4;0;338;1019.3;1019.1;;;981.3;12.0;0.0;0;9.6;9.8;10.6;93.8;
75;20230501225000;BAS;208;2.5;3.7;9.0;13.3;2.5;0;339;1019.4;1019.2;;;981.4;11.9;0.0;0;9.6;9.7;10.5;94.0;
75;20230501230000;BAS;221;2.3;3.2;8.3;11.5;2.3;0;347;1019.5;1019.3;;;981.5;12.0;0.0;0;9.6;9.8;10.6;93.8;
75;20230501231000;BAS;229;2.5;3.0;9.0;10.8;2.5;0;349;1019.5;1019.3;;;981.5;12.0;0.0;0;9.6;9.9;10.7;93.2;
75;20230501232000;BAS;222;2.3;3.2;8.3;11.5;2.2;0;349;1019.6;1019.4;;;981.6;11.8;0.0;0;9.4;9.9;10.6;92.3;
75;20230501233000;BAS;223;1.7;2.1;6.1;7.6;1.7;0;350;1019.6;1019.4;;;981.6;11.6;0.0;0;9.2;9.8;10.6;91.0;
75;20230501234000;BAS;216;1.8;2.5;6.5;9.0;1.8;0;351;1019.6;1019.4;;;981.6;11.7;0.0;0;9.3;9.8;10.6;91.4;
75;20230501235000;BAS;220;1.4;2.3;5.0;8.3;1.4;0;346;1019.7;1019.5;;;981.7;11.7;0.0;0;9.3;9.7;10.6;91.6;
75;20230502000000;BAS;256;0.4;1.2;1.4;4.3;0.4;0;330;1019.6;1019.4;;;981.6;11.7;0.0;0;9.3;9.2;10.3;93.3;
75;20230502001000;BAS;0;0.1;0.6;0.4;2.2;0.0;0;327;1019.7;1019.5;;;981.7;11.8;0.0;0;9.5;8.2;10.2;95.1;
75;20230502002000;BAS;124;0.4;0.7;1.4;2.5;0.4;0;328;1019.7;1019.5;;;981.7;11.7;0.0;0;9.2;7.9;10.2;93.8;
