station;termin;nat_abbr;fn1towd0;fu3towd0;fu3towd1;gre000d0;sre000d0;ta1towd0;ta1towdn;ta1towdx;uretowd0
392;20200608000000;UEB;2.8;25.6;49.0;206;86;9.6;6.8;12.9;74.1
392;20200609000000;UEB;5.1;24.1;45.7;74;0;8.5;7.2;9.9;96.9
392;20200610000000;UEB;1.2;16.2;33.8;76;0;9.2;8.5;10.3;95.0
392;20200611000000;UEB;1.2;16.2;45.0;221;318;11.1;8.4;14.1;85.9
392;20200612000000;UEB;-1.0;19.4;52.6;372;905;16.7;11.1;21.1;51.2
392;20200613000000;UEB;0.5;33.1;86.4;260;356;13.5;9.3;18.7;78.1
392;20200614000000;UEB;-4.5;29.2;56.5;54;0;10.2;8.6;11.9;92.1
392;20200615000000;UEB;-1.2;15.8;29.9;160;124;12.4;10.8;14.6;80.6
392;20200616000000;UEB;1.4;17.6;38.9;228;228;12.6;11.0;14.8;83.3
392;20200617000000;UEB;-1.7;27.7;70.2;68;0;10.8;9.3;12.2;92.8
392;20200618000000;UEB;-1.4;15.1;45.7;214;370;12.0;9.7;15.2;75.0
392;20200619000000;UEB;-2.8;19.1;40.3;113;30;10.4;9.0;12.6;83.0
392;20200620000000;UEB;0.6;9.0;24.8;269;454;13.1;10.4;15.6;71.4
392;20200621000000;UEB;0.4;14.4;30.6;279;585;15.0;11.6;17.9;65.8
392;20200622000000;UEB;1.4;17.3;52.2;211;241;16.0;13.1;18.8;67.4
392;20200623000000;UEB;3.6;32.4;62.3;369;910;17.2;13.5;20.7;61.9
392;20200624000000;UEB;2.9;28.4;51.5;374;910;17.9;14.5;21.5;54.0
392;20200625000000;UEB;0.8;13.7;29.2;366;906;18.9;14.9;22.2;50.2
392;20200626000000;UEB;-3.6;23.4;67.0;209;292;19.1;15.1;21.2;66.3
392;20200627000000;UEB;-3.6;22.7;65.2;263;519;19.0;14.3;21.8;64.7
392;20200628000000;UEB;-1.0;24.8;54.0;152;107;16.5;11.6;20.3;78.1
392;20200629000000;UEB;-0.8;22.0;48.2;190;316;13.7;10.4;17.4;83.1
392;20200630000000;UEB;-1.1;15.8;38.9;354;887;15.9;11.1;20.1;65.2
392;20200701000000;UEB;-4.1;22.3;75.6;357;849;19.0;14.2;23.6;64.8
392;20200702000000;UEB;-0.4;20.5;45.4;186;178;15.3;13.0;17.2;82.1
392;20200703000000;UEB;-0.2;9.0;29.2;103;2;12.9;11.1;14.4;78.3
392;20200704000000;UEB;-0.7;15.5;34.6;318;627;15.4;12.2;18.7;64.1
392;20200705000000;UEB;-1.8;24.1;42.8;339;854;18.1;14.4;21.2;65.8
392;20200706000000;UEB;1.3;28.8;52.2;158;334;14.2;11.0;18.3;67.2
392;20200707000000;UEB;2.1;18.7;35.3;372;895;13.6;10.0;17.3;50.4
392;20200708000000;UEB;0.0;16.6;35.3;359;807;16.8;13.5;20.4;49.5
392;20200709000000;UEB;-1.7;17.6;49.0;333;816;20.8;17.0;24.1;43.5
392;20200710000000;UEB;-0.8;27.7;64.1;302;649;19.8;13.3;23.1;57.0
392;20200711000000;UEB;0.8;17.6;42.1;132;166;13.0;11.7;14.6;83.4
392;20200712000000;UEB;3.0;31.3;51.8;361;859;14.0;9.9;17.4;66.3
392;20200713000000;UEB;1.7;15.5;45.7;350;879;15.4;10.6;18.7;54.5
392;20200714000000;UEB;-0.6;14.8;38.9;341;691;17.1;14.3;19.6;47.5
392;20200715000000;UEB;0.1;17.6;42.1;108;9;13.6;11.4;16.4;73.5
392;20200716000000;UEB;-0.6;23.4;41.8;56;0;11.5;10.9;12.4;95.5
392;20200717000000;UEB;1.7;13.7;28.4;123;3;12.4;10.6;14.1;88.7
392;20200718000000;UEB;2.1;24.5;39.2;333;836;15.1;11.6;17.7;60.7
392;20200719000000;UEB;1.1;12.2;33.8;350;838;17.8;14.0;21.3;53.4
392;20200720000000;UEB;-0.7;11.2;37.4;347;853;20.7;18.0;23.4;44.6
