station;termin;nat_abbr;fn1towd0;fu3towd0;fu3towd1;gre000d0;sre000d0;ta1towd0;ta1towdn;ta1towdx;uretowd0
392;20230601000000;UEB;1.7;15.1;37.4;342;821;16.6;12.9;19.8;52.6
392;20230602000000;UEB;3.5;24.5;62.6;354;871;16.7;13.5;20.1;52.9
392;20230603000000;UEB;2.2;19.4;43.2;342;781;15.5;11.1;19.3;58.0
392;20230604000000;UEB;1.8;21.2;51.1;272;408;15.7;12.6;18.7;57.9
392;20230605000000;UEB;2.3;22.0;45.4;317;707;15.8;12.4;18.8;51.5
392;20230606000000;UEB;2.4;24.8;49.3;350;893;15.5;11.7;18.6;56.2
392;20230607000000;UEB;2.0;18.7;48.6;353;871;16.8;13.1;19.9;46.5
392;20230608000000;UEB;-1.0;13.7;46.4;320;652;17.1;14.7;20.7;49.5
392;20230609000000;UEB;2.5;23.4;50.0;360;836;17.7;13.7;21.5;52.8
392;20230610000000;UEB;1.8;16.9;44.3;329;773;17.5;13.7;20.9;57.9
392;20230611000000;UEB;3.4;27.7;56.2;333;824;17.0;13.1;20.6;64.2
392;20230612000000;UEB;3.7;27.0;57.6;364;895;16.7;12.5;20.4;51.4
392;20230613000000;UEB;4.4;31.3;55.1;364;904;15.0;10.7;18.9;46.6
392;20230614000000;UEB;3.2;28.1;55.1;370;840;16.0;11.6;19.4;36.2
392;20230615000000;UEB;1.3;10.4;39.6;298;500;16.5;13.2;19.1;45.4
392;20230616000000;UEB;1.1;13.0;36.4;309;662;17.0;13.7;20.1;44.0
392;20230617000000;UEB;-0.4;5.8;26.6;337;699;19.0;16.2;21.4;36.5
392;20230618000000;UEB;-1.4;9.4;43.6;305;632;21.1;18.1;24.5;38.4
392;20230619000000;UEB;-1.9;19.4;64.8;271;472;19.8;14.3;22.7;60.1
392;20230620000000;UEB;-1.2;16.6;51.5;289;549;20.8;15.4;24.1;64.5
392;20230621000000;UEB;0.6;16.2;74.9;253;288;20.5;15.2;23.2;60.9
392;20230622000000;UEB;-3.8;28.4;91.4;184;248;19.2;13.0;25.9;67.2
392;20230623000000;UEB;-0.3;26.3;65.5;265;447;15.3;12.4;18.3;71.4
