station;termin;nat_abbr;hns000d0;hto000d0;rre150d0
593;19721115000000;PON;0;;0.0
593;19721116000000;PON;3;;3.3
593;19721117000000;PON;;3;0.9
593;19721118000000;PON;0;;0.0
593;19721119000000;PON;5;;2.4
593;19721120000000;PON;5;5;3.7
593;19721121000000;PON;2;10;0.9
593;19721122000000;PON;0;10;0.0
593;19721123000000;PON;0;;0.0
593;19721124000000;PON;2;;1.1
593;19721125000000;PON;0;6;0.0
593;19721126000000;PON;0;4;0.0
593;19721127000000;PON;0;;0.0
593;19721128000000;PON;0;;0.0
593;19721129000000;PON;0;;0.2
593;19721130000000;PON;10;0;0.9
593;19721201000000;PON;0;10;0.0
593;19721202000000;PON;0;10;0.0
593;19721203000000;PON;0;10;0.0
593;19721204000000;PON;3;10;1.4
593;19721205000000;PON;1;10;0.0
593;19721206000000;PON;0;10;0.0
593;19721207000000;PON;0;10;0.0
593;19721208000000;PON;3;10;1.8
593;19721209000000;PON;22;12;12.0
593;19721210000000;PON;0;32;0.0
593;19721211000000;PON;0;30;0.0
593;19721212000000;PON;0;30;0.0
593;19721213000000;PON;0;30;0.0
593;19721214000000;PON;0;30;0.0
593;19721215000000;PON;0;30;0.0
593;19721216000000;PON;0;25;0.0
593;19721217000000;PON;0;25;0.0
593;19721218000000;PON;0;25;0.0
593;19721219000000;PON;0;25;0.0
593;19721220000000;PON;0;25;0.0
593;19721221000000;PON;0;25;0.0
593;19721222000000;PON;0;25;0.0
593;19721223000000;PON;0;25;0.0
593;19721224000000;PON;0;25;0.0
593;19721225000000;PON;0;23;0.0
593;19721226000000;PON;;22;0.2
593;19721227000000;PON;1;20;1.1
593;19721228000000;PON;0;20;0.0
593;19721229000000;PON;0;20;0.0
593;19721230000000;PON;3;20;0.0
593;19721231000000;PON;0;20;0.0
593;19730101000000;PON;1;20;0.6
593;19730102000000;PON;2;20;1.9
593;19730103000000;PON;1;22;0.4
593;19730104000000;PON;0;20;0.0
593;19730105000000;PON;0;20;0.0
593;19730106000000;PON;0;20;0.0
593;19730107000000;PON;0;20;0.0
593;19730108000000;PON;0;20;0.0
593;19730109000000;PON;0;20;0.0
593;19730110000000;PON;0;20;0.0
593;19730111000000;PON;0;20;0.0
593;19730112000000;PON;0;20;0.0
593;19730113000000;PON;0;20;0.0
593;19730114000000;PON;;20;0.0
593;19730115000000;PON;15;20;9.6
593;19730116000000;PON;1;35;0.7
593;19730117000000;PON;3;35;1.1
593;19730118000000;PON;0;35;0.0
593;19730119000000;PON;0;35;0.0
593;19730120000000;PON;8;35;0.0
593;19730121000000;PON;3;40;5.5
593;19730122000000;PON;0;40;3.5
593;19730123000000;PON;0;40;0.0
593;19730124000000;PON;0;40;0.0
593;19730125000000;PON;0;40;0.0
593;19730126000000;PON;0;40;0.0
593;19730127000000;PON;5;40;2.5
593;19730128000000;PON;3;40;1.2
593;19730129000000;PON;0;40;0.0
593;19730130000000;PON;0;40;0.0
593;19730131000000;PON;0;38;1.0
593;19730201000000;PON;;35;0.0
593;19730202000000;PON;0;40;0.0
593;19730203000000;PON;0;38;0.0
593;19730204000000;PON;0;36;0.0
593;19730205000000;PON;0;36;0.0
593;19730206000000;PON;0;35;0.0
593;19730207000000;PON;0;35;0.0
593;19730208000000;PON;0;35;0.0
593;19730209000000;PON;3;35;1.8
593;19730210000000;PON;5;38;2.0
593;19730211000000;PON;2;40;2.8
593;19730212000000;PON;0;42;0.0
593;19730213000000;PON;8;40;4.5
593;19730214000000;PON;0;48;0.0
593;19730215000000;PON;0;46;0.0
593;19730216000000;PON;0;45;0.0
593;19730217000000;PON;0;45;0.0
593;19730218000000;PON;0;45;0.0
593;19730219000000;PON;0;45;0.0
593;19730220000000;PON;0;45;0.0
593;19730221000000;PON;0;45;0.0
593;19730222000000;PON;0;45;0.0
593;19730223000000;PON;4;45;2.8
593;19730224000000;PON;3;47;0.4
593;19730225000000;PON;1;47;0.0
593;19730226000000;PON;0;46;0.0
593;19730227000000;PON;0;45;0.0
593;19730228000000;PON;0;45;0.0
593;19730301000000;PON;0;45;0.0
593;19730302000000;PON;0;45;0.0
593;19730303000000;PON;0;44;0.0
593;19730304000000;PON;0;42;0.0
593;19730305000000;PON;0;40;0.0
593;19730306000000;PON;;40;2.5
593;19730307000000;PON;;42;0.6
593;19730308000000;PON;0;43;0.0
593;19730309000000;PON;;42;0.2
593;19730310000000;PON;0;42;0.0
593;19730311000000;PON;0;40;0.0
593;19730312000000;PON;0;40;0.0
593;19730313000000;PON;0;40;0.0
593;19730314000000;PON;0;40;0.0
593;19730315000000;PON;0;40;0.0
593;19730316000000;PON;0;40;0.0
593;19730317000000;PON;0;40;0.0
593;19730318000000;PON;0;40;0.0
593;19730319000000;PON;0;40;0.0
593;19730320000000;PON;0;40;0.0
593;19730321000000;PON;0;38;0.0
593;19730322000000;PON;0;35;0.0
593;19730323000000;PON;0;35;0.0
593;19730324000000;PON;0;33;0.0
593;19730325000000;PON;0;33;0.0
593;19730326000000;PON;0;31;0.0
593;19730327000000;PON;0;30;0.0
593;19730328000000;PON;0;30;0.0
593;19730329000000;PON;;30;0.2
593;19730330000000;PON;0;25;0.0
593;19730331000000;PON;0;20;0.0
593;19730401000000;PON;0;15;0.0
593;19730402000000;PON;1;8;1.1
593;19730403000000;PON;1;6;0.0
593;19730404000000;PON;0;3;0.0
593;19730405000000;PON;0;1;0.0
593;19730406000000;PON;0;0;0.0
593;19730407000000;PON;0;0;0.0
593;19730408000000;PON;12;0;7.1
593;19730409000000;PON;28;0;21.5
593;19730410000000;PON;7;38;2.4
593;19730411000000;PON;0;32;0.0
593;19730412000000;PON;0;28;0.0
593;19730413000000;PON;0;26;0.0
593;19730414000000;PON;0;22;0.0
593;19730415000000;PON;0;18;0.0
593;19730416000000;PON;0;16;0.0
593;19730417000000;PON;0;14;0.0
593;19730418000000;PON;0;12;0.0
593;19730419000000;PON;0;10;0.2
593;19730420000000;PON;0;10;0.0
593;19730421000000;PON;0;8;0.0
593;19730422000000;PON;0;6;0.0
593;19730423000000;PON;0;4;0.0
593;19730424000000;PON;0;4;0.0
593;19730425000000;PON;0;4;0.0
593;19730426000000;PON;0;0;0.0
593;19730427000000;PON;0;0;0.0
593;19730428000000;PON;0;0;0.0
593;19730429000000;PON;0;0;0.0
593;19730430000000;PON;0;0;0.0
593;19730501000000;PON;;0;1.3
593;19730502000000;PON;;;3.0
593;19730503000000;PON;0;;0.0
593;19730504000000;PON;;;0.4
593;19730505000000;PON;;;13.5
593;19730506000000;PON;5;;23.0
593;19730507000000;PON;30;;23.9
593;19730508000000;PON;0;;0.0
593;19730509000000;PON;;10;0.2
593;19730510000000;PON;0;0;0.0
593;19730511000000;PON;;;0.9
593;19730512000000;PON;0;;0.0
593;19730513000000;PON;0;;0.0
593;19730514000000;PON;0;;0.0
593;19730515000000;PON;0;;0.0
593;19730516000000;PON;0;;0.0
593;19730517000000;PON;0;;0.0
593;19730518000000;PON;0;;0.0
593;19730519000000;PON;;;3.0
593;19730520000000;PON;;;2.2
593;19730521000000;PON;;;1.5
593;19730522000000;PON;0;;0.0
593;19730523000000;PON;0;;0.0
593;19730524000000;PON;0;;0.0
593;19730525000000;PON;0;;0.0
593;19730526000000;PON;0;;0.0
593;19730527000000;PON;0;;0.0
593;19730528000000;PON;0;;0.0
593;19730529000000;PON;0;;0.0
593;19730530000000;PON;0;;0.0
593;19730531000000;PON;0;;0.0
593;19730601000000;PON;;;10.4
593;19730602000000;PON;;;8.7
593;19730603000000;PON;;;0.0
593;19730604000000;PON;;;0.0
593;19730605000000;PON;;;0.0
593;19730606000000;PON;;;7.4
593;19730607000000;PON;;;0.5
593;19730608000000;PON;;;0.0
593;19730609000000;PON;;;0.0
593;19730610000000;PON;;;0.0
593;19730611000000;PON;;;0.0
593;19730612000000;PON;;;2.0
593;19730613000000;PON;;;0.0
593;19730614000000;PON;;;0.0
593;19730615000000;PON;;;0.0
593;19730616000000;PON;;;0.0
593;19730617000000;PON;;;4.8
593;19730618000000;PON;;;0.0
593;19730619000000;PON;;;0.0
593;19730620000000;PON;;;31.7
593;19730621000000;PON;;;1.7
593;19730622000000;PON;;;26.8
593;19730623000000;PON;;;1.7
593;19730624000000;PON;;;0.0
593;19730625000000;PON;;;0.0
593;19730626000000;PON;;;0.0
593;19730627000000;PON;;;0.3
593;19730628000000;PON;;;5.8
593;19730629000000;PON;;;0.4
593;19730630000000;PON;;;0.0
593;19730701000000;PON;;;0.0
593;19730702000000;PON;;;0.0
593;19730703000000;PON;;;0.0
593;19730704000000;PON;;;0.0
593;19730705000000;PON;;;0.0
593;19730706000000;PON;;;2.5
593;19730707000000;PON;;;0.3
593;19730708000000;PON;;;12.8
593;19730709000000;PON;;;4.8
593;19730710000000;PON;;;0.0
593;19730711000000;PON;;;2.5
593;19730712000000;PON;;;7.7
593;19730713000000;PON;;;3.5
593;19730714000000;PON;;;54.0
593;19730715000000;PON;;;30.0
593;19730716000000;PON;;;0.6
593;19730717000000;PON;;;21.5
593;19730718000000;PON;;;0.3
593;19730719000000;PON;;;0.0
593;19730720000000;PON;;;0.0
593;19730721000000;PON;;;4.9
593;19730722000000;PON;;;5.2
593;19730723000000;PON;;;0.0
593;19730724000000;PON;;;2.6
593;19730725000000;PON;;;4.7
593;19730726000000;PON;;;0.2
593;19730727000000;PON;;;0.0
593;19730728000000;PON;;;0.0
593;19730729000000;PON;;;1.2
593;19730730000000;PON;;;22.7
593;19730731000000;PON;;;0.0
593;19730801000000;PON;;;0.0
593;19730802000000;PON;;;5.2
593;19730803000000;PON;;;0.0
593;19730804000000;PON;;;2.2
593;19730805000000;PON;;;0.0
593;19730806000000;PON;;;0.0
593;19730807000000;PON;;;0.0
593;19730808000000;PON;;;0.0
593;19730809000000;PON;;;0.0
593;19730810000000;PON;;;0.0
593;19730811000000;PON;;;15.4
593;19730812000000;PON;;;1.1
593;19730813000000;PON;;;0.0
593;19730814000000;PON;;;0.0
593;19730815000000;PON;;;3.0
593;19730816000000;PON;;;0.0
593;19730817000000;PON;;;0.0
593;19730818000000;PON;;;0.0
593;19730819000000;PON;;;0.0
593;19730820000000;PON;;;0.0
593;19730821000000;PON;;;4.4
593;19730822000000;PON;;;2.8
593;19730823000000;PON;;;1.8
593;19730824000000;PON;;;0.6
593;19730825000000;PON;;;9.0
593;19730826000000;PON;;;5.5
593;19730827000000;PON;;;1.0
593;19730828000000;PON;;;10.5
593;19730829000000;PON;;;0.1
593;19730830000000;PON;;;9.8
593;19730831000000;PON;;;1.1
593;19730901000000;PON;;;0.0
593;19730902000000;PON;;;0.0
593;19730903000000;PON;;;0.0
593;19730904000000;PON;;;0.0
593;19730905000000;PON;;;0.0
593;19730906000000;PON;;;0.0
593;19730907000000;PON;;;0.0
593;19730908000000;PON;;;0.0
593;19730909000000;PON;;;0.0
593;19730910000000;PON;;;0.0
593;19730911000000;PON;;;0.0
593;19730912000000;PON;;;0.0
593;19730913000000;PON;;;0.0
593;19730914000000;PON;;;0.0
593;19730915000000;PON;;;0.0
593;19730916000000;PON;;;2.3
593;19730917000000;PON;;;0.0
593;19730918000000;PON;;;6.4
593;19730919000000;PON;;;0.7
593;19730920000000;PON;;;0.0
593;19730921000000;PON;;;48.6
593;19730922000000;PON;;;15.0
593;19730923000000;PON;;;24.7
593;19730924000000;PON;;;3.7
593;19730925000000;PON;;;13.8
593;19730926000000;PON;;;3.2
593;19730927000000;PON;;;6.6
593;19730928000000;PON;;;0.0
593;19730929000000;PON;;;4.6
593;19730930000000;PON;;;24.0
593;19731001000000;PON;;;17.3
593;19731002000000;PON;0;10;0.0
593;19731003000000;PON;0;;0.0
593;19731004000000;PON;0;;0.0
593;19731005000000;PON;0;;0.0
593;19731006000000;PON;0;;0.0
593;19731007000000;PON;5;;18.2
593;19731008000000;PON;0;;0.0
593;19731009000000;PON;0;;0.0
593;19731010000000;PON;0;;0.0
593;19731011000000;PON;0;;0.0
593;19731012000000;PON;0;;0.0
593;19731013000000;PON;;;5.6
593;19731014000000;PON;;;4.4
593;19731015000000;PON;;;0.2
593;19731016000000;PON;;;8.5
593;19731017000000;PON;;;0.0
593;19731018000000;PON;0;;0.0
593;19731019000000;PON;0;;0.0
593;19731020000000;PON;;;0.0
593;19731021000000;PON;;;1.8
593;19731022000000;PON;0;;0.4
593;19731023000000;PON;10;;4.3
593;19731024000000;PON;5;;0.0
593;19731025000000;PON;0;;0.0
593;19731026000000;PON;0;;0.0
593;19731027000000;PON;0;;0.0
593;19731028000000;PON;0;;0.0
593;19731029000000;PON;0;;0.0
593;19731030000000;PON;0;;0.0
593;19731031000000;PON;0;;0.0
593;19731101000000;PON;0;;0.0
593;19731102000000;PON;0;;0.0
593;19731103000000;PON;0;;0.0
593;19731104000000;PON;0;;0.0
593;19731105000000;PON;0;;0.0
593;19731106000000;PON;;;0.3
593;19731107000000;PON;0;;0.0
593;19731108000000;PON;0;;0.0
593;19731109000000;PON;0;;0.0
593;19731110000000;PON;0;;0.0
593;19731111000000;PON;0;;0.0
593;19731112000000;PON;0;;0.0
593;19731113000000;PON;0;;0.0
593;19731114000000;PON;;;10.1
593;19731115000000;PON;;;1.2
593;19731116000000;PON;0;;0.0
593;19731117000000;PON;0;;0.0
593;19731118000000;PON;0;;0.0
593;19731119000000;PON;0;;0.0
593;19731120000000;PON;0;;0.0
593;19731121000000;PON;0;;0.0
593;19731122000000;PON;0;;0.0
593;19731123000000;PON;0;;0.0
593;19731124000000;PON;0;;0.0
593;19731125000000;PON;0;;0.0
593;19731126000000;PON;0;;0.0
593;19731127000000;PON;3;;1.2
593;19731128000000;PON;2;3;3.1
593;19731129000000;PON;3;5;6.5
593;19731130000000;PON;0;7;0.0
593;19731201000000;PON;0;7;0.0
593;19731202000000;PON;0;4;0.0
593;19731203000000;PON;0;3;0.0
593;19731204000000;PON;4;3;1.2
593;19731205000000;PON;0;6;0.0
593;19731206000000;PON;0;6;0.0
593;19731207000000;PON;0;6;0.0
593;19731208000000;PON;0;6;0.0
593;19731209000000;PON;4;5;5.2
593;19731210000000;PON;0;8;0.0
593;19731211000000;PON;0;8;0.0
593;19731212000000;PON;0;7;0.0
593;19731213000000;PON;6;6;3.2
593;19731214000000;PON;14;12;5.9
593;19731215000000;PON;4;23;2.2
593;19731216000000;PON;0;21;0.0
593;19731217000000;PON;0;21;0.0
593;19731218000000;PON;0;21;0.0
593;19731219000000;PON;0;20;0.0
593;19731220000000;PON;6;18;2.8
593;19731221000000;PON;20;20;11.5
593;19731222000000;PON;0;35;0.0
593;19731223000000;PON;4;30;1.0
593;19731224000000;PON;0;30;0.0
593;19731225000000;PON;13;28;4.8
593;19731226000000;PON;0;33;0.0
593;19731227000000;PON;0;33;0.0
593;19731228000000;PON;0;30;0.0
593;19731229000000;PON;0;30;0.0
593;19731230000000;PON;0;29;0.0
593;19731231000000;PON;11;28;6.2
593;19740101000000;PON;4;38;1.4
593;19740102000000;PON;1;38;0.2
593;19740103000000;PON;3;38;1.2
593;19740104000000;PON;0;41;0.0
593;19740105000000;PON;1;38;0.0
593;19740106000000;PON;0;35;0.0
593;19740107000000;PON;3;34;0.8
593;19740108000000;PON;0;37;0.0
593;19740109000000;PON;8;37;4.9
593;19740110000000;PON;0;45;0.0
593;19740111000000;PON;0;40;0.0
593;19740112000000;PON;0;40;0.0
593;19740113000000;PON;0;40;0.0
593;19740114000000;PON;0;38;0.0
593;19740115000000;PON;0;37;0.0
593;19740116000000;PON;2;36;0.2
593;19740117000000;PON;11;35;6.6
593;19740118000000;PON;3;42;2.9
593;19740119000000;PON;0;40;0.0
593;19740120000000;PON;0;40;0.0
593;19740121000000;PON;0;40;0.0
593;19740122000000;PON;0;40;0.0
593;19740123000000;PON;0;39;0.0
593;19740124000000;PON;0;39;0.0
593;19740125000000;PON;0;38;0.0
593;19740126000000;PON;0;38;0.0
593;19740127000000;PON;1;37;0.5
593;19740128000000;PON;0;37;0.0
593;19740129000000;PON;0;36;0.0
593;19740130000000;PON;0;35;0.0
593;19740131000000;PON;3;35;1.0
593;19740201000000;PON;8;38;5.5
593;19740202000000;PON;2;43;1.2
593;19740203000000;PON;3;45;2.7
593;19740204000000;PON;0;46;0.0
593;19740205000000;PON;3;44;1.2
593;19740206000000;PON;3;42;1.4
593;19740207000000;PON;14;43;6.7
593;19740208000000;PON;0;55;0.0
593;19740209000000;PON;0;53;0.0
593;19740210000000;PON;0;52;0.0
593;19740211000000;PON;1;51;0.3
593;19740212000000;PON;11;50;5.0
593;19740213000000;PON;3;58;2.4
593;19740214000000;PON;3;58;2.6
593;19740215000000;PON;0;56;0.0
593;19740216000000;PON;0;53;0.0
593;19740217000000;PON;1;50;0.7
593;19740218000000;PON;0;50;0.0
593;19740219000000;PON;0;48;0.0
593;19740220000000;PON;0;46;0.0
