station;termin;nat_abbr;kaalnud0;kaalnud1;kabetud0;kabetud1;kacoryd0;kacoryd1;kafagud0;kafagud1;kafraxd0;kafraxd1;kaquerd0;kaquerd1;khpoacd0;khpoacd1
931;20230511000000;PBS;0;0;6;6;0;0;4;4;0;0;2;2;22;23
931;20230512000000;PBS;0;0;19;18;0;0;15;12;0;0;4;4;44;30
931;20230513000000;PBS;0;0;6;7;0;0;6;8;0;0;2;2;24;39
931;20230514000000;PBS;0;0;13;12;0;0;10;10;0;0;5;5;55;50
931;20230515000000;PBS;0;0;19;20;0;0;7;7;0;0;4;5;51;51
931;20230516000000;PBS;0;0;0;0;0;0;22;13;0;0;7;5;32;30
931;20230517000000;PBS;0;0;0;0;0;0;49;57;0;0;24;25;60;58
931;20230518000000;PBS;0;0;0;0;0;0;19;19;0;0;10;9;93;81
931;20230519000000;PBS;0;0;0;0;0;0;23;20;0;0;9;9;108;104
931;20230520000000;PBS;0;0;0;0;0;0;26;21;0;0;6;6;106;100
931;20230521000000;PBS;0;0;0;0;0;0;28;34;0;0;9;10;135;153
931;20230522000000;PBS;0;0;0;0;0;0;18;18;0;0;10;11;124;128
931;20230523000000;PBS;0;0;0;0;0;0;29;27;0;0;16;13;282;227
931;20230524000000;PBS;0;0;0;0;0;0;27;19;0;0;10;10;115;160
931;20230525000000;PBS;0;0;0;0;0;0;35;40;0;0;12;12;212;179
931;20230526000000;PBS;0;0;0;0;0;0;37;39;0;0;25;25;326;345
931;20230527000000;PBS;0;0;0;0;0;0;43;45;0;0;17;18;291;307
931;20230528000000;PBS;0;0;0;0;0;0;30;32;0;0;16;15;243;245
931;20230529000000;PBS;0;0;0;0;0;0;30;26;0;0;16;16;215;197
931;20230530000000;PBS;0;0;0;0;0;0;48;45;0;0;29;27;305;297
931;20230531000000;PBS;0;0;0;0;0;0;30;35;0;0;24;24;242;256
931;20230601000000;PBS;0;0;0;0;0;0;25;27;0;0;19;20;197;188
931;20230602000000;PBS;0;0;0;0;0;0;18;20;0;0;19;20;222;236
931;20230603000000;PBS;0;0;0;0;0;0;11;10;0;0;12;13;160;169
931;20230604000000;PBS;0;0;0;0;0;0;12;13;0;0;11;11;156;158
931;20230605000000;PBS;0;0;0;0;0;0;13;14;0;0;15;13;155;145
931;20230606000000;PBS;0;0;0;0;0;0;6;6;0;0;11;11;148;144
931;20230607000000;PBS;0;0;0;0;0;0;0;1;0;0;1;3;123;142
931;20230608000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;84;88
931;20230609000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;113;110
931;20230610000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;93;99
931;20230611000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;105;94
931;20230612000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;126;121
931;20230613000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;131;137
931;20230614000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;158;157
931;20230615000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;103;105
931;20230616000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;134;128
931;20230617000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;150;152
931;20230618000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;151;117
931;20230619000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;75;126
931;20230620000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;63;39
931;20230621000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;31;52
931;20230622000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;67;71
931;20230623000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;52;47
931;20230624000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;78;72
931;20230625000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;62;66
931;20230626000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;326;271
931;20230627000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;199;234
931;20230628000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;71;88
931;20230629000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;84;76
931;20230630000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;74;35
931;20230701000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;102;139
931;20230702000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;114;108
931;20230703000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;118;136
931;20230704000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;68;65
931;20230705000000;PBS;0;0;0;0;0;0;0;0;0;0;0;0;85;86
